Stop Name,Station ID,Complex ID,GTFS Stop ID,Division,Line,Precinct,GTFS Latitude,GTFS Longitude,Borough,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
Chambers St,170,624,A36,IND,8th Av - Fulton St,1,40.714111,-74.008585,M,A C,Subway,Uptown,Downtown & Brooklyn,0,,,,,
World Trade Center,171,624,E01,IND,8th Av - Fulton St,1,40.712582,-74.009781,M,E,Subway,Uptown & Queens,,1,,,,,
Fulton St,172,628,A38,IND,8th Av - Fulton St,32,40.710197,-74.007691,M,A C,Subway,Uptown,Brooklyn,1,,,,,
155 St,220,220,D12,IND,Concourse,32,40.830135,-73.938209,M,B D,Subway,The Bronx,Downtown & Brooklyn,0,,,,,
Lexington Av/63 St,223,223,B08,IND,63rd St,19,40.764629,-73.966113,M,F Q,Subway,Uptown - Queens,Downtown & Brooklyn,1,,,,,
57 St,224,224,B10,IND,6th Av - Culver,18,40.763972,-73.97745,M,F,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
47-50 Sts-Rockefeller Ctr,225,225,D15,IND,6th Av - Culver,18,40.758663,-73.981329,M,B D F M,Subway,Uptown & The Bronx - Queens,Downtown & Brooklyn,1,,,,,
42 St-Bryant Pk,226,609,D16,IND,6th Av - Culver,14,40.754222,-73.984569,M,B D F M,Subway,Uptown & The Bronx - Queens,Downtown & Brooklyn,0,,,,,
34 St-Herald Sq,227,607,D17,IND,6th Av - Culver,14,40.749719,-73.987823,M,B D F M,Subway,Uptown & The Bronx - Queens,Downtown & Brooklyn,1,,,,,
23 St,228,228,D18,IND,6th Av - Culver,13,40.742878,-73.992821,M,F M,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
14 St,229,601,D19,IND,6th Av - Culver,13,40.738228,-73.996209,M,F M,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
Broadway-Lafayette St,230,619,D21,IND,6th Av - Culver,9,40.725297,-73.996204,M,B D F M,Subway,Uptown & The Bronx - Queens,Downtown & Brooklyn,1,,,,,
Grand St,231,231,D22,IND,6th Av - Culver,5,40.718267,-73.993753,M,B D,Subway,Uptown & The Bronx,Brooklyn,0,,,,,
2 Av,232,232,F14,IND,6th Av - Culver,5,40.723402,-73.989938,M,F,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
Delancey St-Essex St,233,625,F15,IND,6th Av - Culver,7,40.718611,-73.988114,M,F,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
East Broadway,234,234,F16,IND,6th Av - Culver,7,40.713715,-73.990173,M,F,Subway,Uptown & Queens,Brooklyn,0,,,,,
Lexington Av/53 St,275,612,F11,IND,Queens Blvd,17,40.757552,-73.969055,M,E M,Subway,Queens,Downtown & Brooklyn,1,,,,,
5 Av/53 St,276,276,F12,IND,Queens Blvd,18,40.760167,-73.975224,M,E M,Subway,Queens,Downtown & Brooklyn,0,,,,,
7 Av,277,277,D14,IND,Queens Blvd,18,40.762862,-73.981637,M,B D E,Subway,Uptown & The Bronx - Queens,Downtown & Brooklyn,0,,,,,
215 St,297,297,107,IRT,Broadway - 7Av,34,40.869444,-73.915279,M,1,Elevated,The Bronx,Downtown,0,,,,,
207 St,298,298,108,IRT,Broadway - 7Av,34,40.864621,-73.918822,M,1,Elevated,Uptown & The Bronx,Downtown,0,,,,,
Dyckman St,299,299,109,IRT,Broadway - 7Av,34,40.860531,-73.925536,M,1,Elevated,Uptown & The Bronx,Downtown,2,Downtown only,0,1,,
191 St,300,300,110,IRT,Broadway - 7Av,34,40.855225,-73.929412,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
181 St,301,301,111,IRT,Broadway - 7Av,34,40.849505,-73.933596,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
168 St-Washington Hts,302,605,112,IRT,Broadway - 7Av,33,40.840556,-73.940133,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
157 St,303,303,113,IRT,Broadway - 7Av,33,40.834041,-73.94489,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
145 St,304,304,114,IRT,Broadway - 7Av,30,40.826551,-73.95036,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
137 St-City College,305,305,115,IRT,Broadway - 7Av,30,40.822008,-73.953676,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
125 St,306,306,116,IRT,Broadway - 7Av,26,40.815581,-73.958372,M,1,Elevated,Uptown & The Bronx,Downtown,0,,,,,
116 St-Columbia University,307,307,117,IRT,Broadway - 7Av,26,40.807722,-73.96411,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
Cathedral Pkwy (110 St),308,308,118,IRT,Broadway - 7Av,26,40.803967,-73.966847,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
103 St,309,309,119,IRT,Broadway - 7Av,24,40.799446,-73.968379,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
96 St,310,310,120,IRT,Broadway - 7Av,20,40.793919,-73.972323,M,1 2 2003,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
86 St,311,311,121,IRT,Broadway - 7Av,20,40.788644,-73.976218,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
79 St,312,312,122,IRT,Broadway - 7Av,20,40.783934,-73.979917,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
72 St,313,313,123,IRT,Broadway - 7Av,20,40.778453,-73.98197,M,1 2 2003,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
66 St-Lincoln Center,314,314,124,IRT,Broadway - 7Av,20,40.77344,-73.982209,M,1,Subway,Uptown & The Bronx,Downtown,1,,,,,
59 St-Columbus Circle,315,614,125,IRT,Broadway - 7Av,18,40.768247,-73.981929,M,1,Subway,Uptown & The Bronx,Downtown,1,,,,,
50 St,316,316,126,IRT,Broadway - 7Av,18,40.761728,-73.983849,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
Times Sq-42 St,317,611,127,IRT,Broadway - 7Av,14,40.75529,-73.987495,M,1 2 2003,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
34 St-Penn Station,318,318,128,IRT,Broadway - 7Av,14,40.750373,-73.991057,M,1 2 2003,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
28 St,319,319,129,IRT,Broadway - 7Av,10,40.747215,-73.993365,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
23 St,320,320,130,IRT,Broadway - 7Av,10,40.744081,-73.995657,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
18 St,321,321,131,IRT,Broadway - 7Av,10,40.74104,-73.997871,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
14 St,322,601,132,IRT,Broadway - 7Av,6,40.737826,-74.000201,M,1 2 2003,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
Christopher St-Sheridan Sq,323,323,133,IRT,Broadway - 7Av,6,40.733422,-74.002906,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
Houston St,324,324,134,IRT,Broadway - 7Av,1,40.728251,-74.005367,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
Canal St,325,325,135,IRT,Broadway - 7Av,1,40.722854,-74.006277,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
Franklin St,326,326,136,IRT,Broadway - 7Av,1,40.719318,-74.006886,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
Chambers St,327,327,137,IRT,Broadway - 7Av,1,40.715478,-74.009266,M,1 2 2003,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
WTC Cortlandt,328,328,138,IRT,Broadway - 7Av,1,40.711835,-74.012188,M,1,Subway,Uptown & The Bronx,Downtown,1,,,,,
Rector St,329,329,139,IRT,Broadway - 7Av,1,40.707513,-74.013783,M,1,Subway,Uptown & The Bronx,Downtown,0,,,,,
South Ferry,330,635,142,IRT,Broadway - 7Av,1,40.702068,-74.013664,M,1,Subway,Uptown & The Bronx,,1,,,,,
Park Place,331,624,228,IRT,Clark St,1,40.713051,-74.008811,M,2 3,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
Fulton St,332,628,229,IRT,Clark St,1,40.709416,-74.006571,M,2 3,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
Wall St,333,333,230,IRT,Clark St,1,40.706821,-74.0091,M,2 3,Subway,Uptown & The Bronx,Brooklyn,0,,,,,
125 St,392,392,621,IRT,Lexington Av,25,40.804138,-73.937594,M,4 5 2006,Subway,The Bronx,Downtown & Brooklyn,1,,,,,
116 St,393,393,622,IRT,Lexington Av,25,40.798629,-73.941617,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
110 St,394,394,623,IRT,Lexington Av,23,40.79502,-73.94425,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
103 St,395,395,624,IRT,Lexington Av,23,40.7906,-73.947478,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
96 St,396,396,625,IRT,Lexington Av,19,40.785672,-73.95107,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
86 St,397,397,626,IRT,Lexington Av,19,40.779492,-73.955589,M,4 5 2006,Subway,Uptown & The Bronx,Downtown & Brooklyn,2,Uptown & The Bronx local only,2,0,,
77 St,398,398,627,IRT,Lexington Av,19,40.77362,-73.959874,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
68 St-Hunter College,399,399,628,IRT,Lexington Av,19,40.768141,-73.96387,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
